
Ereignis,Gemeldet,breitengrad,längengrad,Zuersklasse,Schadenart,Schadenobjekt,Fallart
1423437985,1423437985,51.8373744,6.63505987987288,2,912,1,0
1405333200,1405353600,51.48990000290422,7.36569194320884,2,911,1,1
1423537985,1423537985,52.1395273,8.5663197,2,912,1,0
1405333320,1405353600,51.48990000290422,7.36569194320884,2,911,1,1
1423637985,1423637985,52.5075599,13.3879443,2,912,1,0
1405333320,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
1423737985,1423737985,51.4524118,7.027221,2,912,1,0
1405333320,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
1423837985,1423837985,48.1716774,11.5860136,2,912,1,0
1405333560,1405353600,51.48990000290422,7.36569194320884,2,911,1,1
1423937985,1423937985,50.8439133,12.8986151,2,912,1,0
1405333560,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
1424037985,1424037985,51.504305,7.52683954696296,2,912,1,0
1405333560,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
1424137985,1424137985,51.1945528,6.4216697,2,912,1,0
1405333560,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
1424237985,1424237985,52.3000606,8.9103815,2,912,1,0
1405333560,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
1435237985,1435237985,49.8424203,11.4165088,2,915,1,0
1405335600,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
1425237985,1425237985,49.9736261,8.2823152,2,915,1,0
1405335600,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
1434237985,1434237985,51.6789225,7.792232,2,915,1,0
1405336200,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
1433237985,1433237985,47.5967748,7.59506788133291,2,915,1,0
1405336200,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
1432237985,1432237985,52.41704675,9.7350001,2,915,1,0
1405336320,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
1431237985,1431237985,51.5284946,9.93025,2,915,1,0
1405336320,1405337400,51.489980607146286,7.3662766930266566,2,911,1,1
1430237985,1430237985,51.3896178,7.7080755,2,915,1,0
1405336320,1405337400,51.489980607146286,7.3662766930266566,2,911,1,1
1429237985,1429237985,50.8999759,11.5944066,2,915,1,0
1405336320,1405337400,51.489980607146286,7.3662766930266566,2,911,1,1
1428237985,1428237985,49.8927768,10.8891726,2,915,1,0
1405336320,1405337400,51.489980607146286,7.3662766930266566,2,911,1,1
1427237985,1427237985,54.3068916,10.1347299610742,2,915,1,0
1405336320,1405338000,51.489980607146286,7.3662766930266566,2,911,1,1
1426237985,1426237985,52.1034146,11.6010301,2,915,1,0
1405336320,1405338000,51.489980607146286,7.36627669302665662,2,911,1,1
1436237985,1436237985,53.2770602,12.9677532,2,970,1,0
1407334920,1407392520,51.482185616130515,7.423203158080832,2,970,1,1
1438237985,1438237985,52.3966456,10.829364,2,970,1,0
1407334920,1407392520,51.482185616130515,7.423203158080832,2,970,1,1
1439237985,1439237985,52.1647168,10.546672,2,970,1,0
1407334920,1407392520,51.482185616130515,7.423203158080832,2,970,1,1
1440237985,1440237985,52.0371907,12.1036295,2,970,1,0
1407334920,1407392520,51.482185616130515,7.423203158080832,2,970,1,1
1441237985,1441237985,48.9331938,8.4550532,2,970,1,0
1407334920,1407392520,51.482185616130515,7.423203158080832,2,970,1,1
1442237985,1442237985,52.9584864,11.9453228,2,970,1,0
1407334920,1407392520,51.482185616130515,7.423203158080832,2,970,1,1
1443237985,1443237985,50.774062,12.059445,2,970,1,0
1407334920,1407392520,51.482185616130515,7.423203158080832,2,970,1,1
1444237985,1444237985,49.3058251,8.6420419,2,970,1,0
1407334920,1407392520,51.482185616130515,7.423203158080832,2,970,1,1
1445237985,1445237985,52.083847,7.6162389,2,970,1,0
1407334920,1407392520,51.482185616130515,7.423203158080832,2,970,1,1
1446237985,1446237985,49.9984437,8.2657373,2,970,1,0
1407334920,1407392520,51.482185616130515,7.423203158080832,2,970,1,1
1437237985,1437237985,52.4060587,10.939899,2,970,1,0
1407334920,1407392520,51.482185616130515,7.423203158080832,2,970,1,1
1447237985,1447237985,49.6515286,8.569889,2,962,1,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1455237985,1455237985,45.3930868,7.0009363,2,962,1,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1455237985,1455237985,49.3930868,7.0009363,2,962,1,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1454237985,1454237985,47.7546747,8.166135,2,962,1,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1453237985,1453237985,49.0784514,9.5315614,2,962,1,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1452237985,1452237985,49.0889109,9.4928485,2,962,1,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1451237985,1451237985,51.8259038,7.8912888,2,962,1,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1450237985,1450237985,52.1222491,6.9193362,2,926,1,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1449237985,1449237985,50.7338626,6.1648342,2,962,1,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1448237985,1448237985,50.9412945,6.8974768,2,962,1,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1456237985,1456237985,51.482185616130515,7.423203158080832,2,970,1,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1457237985,1457237985,51.482185616130515,7.423203158080832,2,970,1,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1466237985,1466237985,51.482185616130515,7.423203158080832,2,870,42,0
1407334920,1407392571,51.482185616130515,7.423203158080832,2,970,1,1
1423237985,1423237985,51.1606281,6.4467757,2,912,1,0
1503337985,1503337985,51.51799185,7.51121367824681,2,911,1,1
1468237985,1468237985,51.4933988,7.58681194696505,2,870,42,0
1503437985,1503437985,51.51799185,7.51121367824681,2,911,1,1
1474237985,1474237985,51.7232499,11.2209935351497,2,870	,42,0
1503537985,1503537985,51.51799185,7.51121367824681,2,911,1,1
1473237985,1473237985,51.2957045,11.438722358256,2,870,42,0
1503637985,1503637985,51.51799185,7.511213678246817,2,911,1,1
1472237985,1472237985,51.3816525,11.608535,2,870,42,0
1503737985,1503737985,51.51799185,7.51121367824681,2,911,1,1
1470237985,1470237985,51.37393515,11.2868318091164,2,870,42,0
1503837985,1503837985,51.51799185,7.51121367824681,2,911,1,1
1471237985,1471237985,51.5600663,7.59516220990331,2,870,42,0
1503937985,1503937985,51.51799185,7.51121367824681,2,911,1,1
1470237985,1470237985,51.5220183,7.37085952,2,870,42,0
1504037985,1504037985,51.51799185,7.51121367824681,2,911,1,1
1469237985,1469237985,51.47297355,7.43215388383734,2,870,42,0
1504137985,1504137985,51.51799185,7.51121367824681,2,911,1,1
1467237985,1467237985,51.5510125,7.3773211,2,870,42,0
1504237985,1504237985,51.51799185,7.51121367824681,2,911,1,1
1475237985,1475237985,51.6483137,11.516929,2,861,32,0
1504337985,1504337985,51.5000338,7.4832205,2,911,1,1
1484237985,1484237985,51.11959675,9.13293536354728,2,861,32,0
1504437985,1504437985,51.5000338,7.4832205,2,911,1,1
1483237985,1483237985,51.2434639,9.0097868,2,861,32,0
1504537985,1504537985,51.5000338,7.4832205,2,911,1,1
1482237985,1482237985,51.3242993,9.1797729,2,861,32,0
1504637985,1504637985,51.5000338,7.4832205,2,911,1,1
1481237985,1481237985,51.67281735,9.37644126679191,2,861,32,0
1504737985,1504737985,51.5000338,7.4832205,2,911,1,1
1480237985,1480237985,51.81629785,9.8744127,2,861,32,0
1504837985,1504837985,51.5000338,7.4832205,2,911,1,1
1479237985,1479237985,51.8879364,11.0615257,2,861,32,0
1478237985,1478237985,51.79001705,11.156139004987,2,861,32,0
1504937985,1504937985,51.5000338,7.4832205,2,911,1,1
1477237985,1477237985,51.7507649,11.044574334622,2,861,32,0
1505037985,1505037985,51.5000338,7.4832205,2,911,1,1
1476237985,1476237985,51.6070079,11.4617113,2,861,32,0
1505137985,1505137985,51.5000338,7.4832205,2,911,1,1
1494237985,1494237985,50.8958504,11.2976273,2,950,18,0
1505237985,1505237985,51.5000338,7.4832205,2,911,1,1
1493237985,1493237985,50.93796385,11.592445631759,2,950,18,0
1505337985,1505337985,49.0097826,12.0836685858478,2,911,1,1
1492237985,1492237985,50.702197,11.6148695057545,2,950,18,0
1505437985,1505437985,49.0097826,12.0836685858478,2,911,1,1
1491237985,1491237985,50.7174949,10.4675310466731,2,950,18,0
1505537985,1505537985,49.0097826,12.0836685858478,2,911,1,1
1490237985,1490237985,50.5077201,11.1348489777897,2,950,18,0
1505637985,1505637985,49.0097826,12.0836685858478,2,911,1,1
1489237985,1489237985,50.4387007,10.3042449,2,950,18,0
1505737985,1505737985,49.0097826,12.0836685858478,2,911,1,1
1488237985,1488237985,50.3192322,10.2057889,2,950,18,0
1505837985,1505837985,49.0097826,12.0836685858478,2,911,1,1
1487237985,1487237985,50.3151964,9.80031361454107,2,950,18,0
1505937985,1505937985,49.0097826,12.0836685858478,2,911,1,1
1486237985,1486237985,50.571787,9.9991264,2,950,18,0
1506037985,1506037985,49.0097826,12.0836685858478,2,911,1,1
1485237985,1485237985,50.9123386,9.2465109,2,950,18,0
1506137985,1506137985,49.0097826,12.0836685858478,2,911,1,1
1494237985,1494237985,50.98051915,11.3139164987343,2,911,1,0
1506237985,1506237985,49.0097826,12.0836685858478,2,911,1,1
1495237985,1495237985,50.9656985,9.7962649,2,911,1,0
1506337985,1506337985,51.5142154,7.4640516,2,911,1,1
1496237985,1496237985,51.0718831,9.934913,2,911,1,0
1506437985,1506437985,51.5142154,7.4640516,2,911,1,1
1497237985,1497237985,51.112895,9.6807027,2,911,1,0
1506537985,1506537985,51.5142154,7.4640516,2,911,1,1
1498237985,1498237985,50.95875141763,11.0626318,2,911,1,0
1506637985,1506637985,51.5142154,7.4640516,2,911,1,1
1499237985,1499237985,50.958112463,11.06126318,2,911,1,0
1506737985,1506737985,51.5142154,7.4640516,2,911,1,1
1500237985,1500237985,50.958773363,11.062246318,2,911,1,0
1506837985,1506837985,51.5142154,7.4640516,2,911,1,1
1501237985,1501237985,51.94131487763,11.0626318,2,911,1,0
1506937985,1506937985,51.5142154,7.46405167,2,911,1,1
1502237985,1502237985,50.958776341,11.06263184131,2,911,1,0
1507037985,1507037985,51.5142154,7.4640516,2,911,1,1
1503237985,1503237985,50.5077201,11.1348489777897,2,911,1,0
1507137985,1507137985,51.5142154,7.4640516,2,911,1,1
1421437985,1421437985,48.7677063,9.17266723119621,2,912,1,0
1507237985,1507237985,51.5142154,7.46405167,2,911,1,1
